year,case,,,,,
,,,1.15664E-79,,,
,,,9.25311E-80,,,
,,,7.40249E-80,,,
,,,5.92199E-80,,,
,,,4.73759E-80,,,
,,,3.79007E-80,,,
,,,3.03206E-80,,,
,,,2.42565E-80,,,
,,,1.94052E-80,,,
,,,1.55241E-80,,,
,,,1.24193E-80,,,
,,,9.93545E-81,,,
,,,7.94836E-81,,,
,,,6.35869E-81,,,
,,,5.08695E-81,,,
,,,4.06956E-81,,,
,,,3.25565E-81,,,
,,,2.60452E-81,,,
,,,2.08361E-81,,,
,,,1.66689E-81,,,
,,,1.33351E-81,,,
,,,1.06681E-81,,,
,,,8.53449E-82,,,
,,,6.82759E-82,,,
,,,5.46207E-82,,,
,,,4.36966E-82,,,
,,,3.49573E-82,,,
,,,2.79658E-82,,,
,,,2.23726E-82,,,
,,,1.78981E-82,,,
,,,1.43185E-82,,,
,,,1.14548E-82,,,
,,,9.16383E-83,,,
,,,7.33107E-83,,,
,,,5.86485E-83,,,
,,,4.69188E-83,,,
,,,3.75351E-83,,,
,,,3.00281E-83,,,
,,,2.40224E-83,,,
,,,1.9218E-83,,,
,,,1.53744E-83,,,
,,,1.22995E-83,,,
,,,9.83959E-84,,,
,,,7.87167E-84,,,
,,,6.29734E-84,,,
,,,5.03787E-84,,,
,,,4.0303E-84,,,
,,,3.22424E-84,,,
,,,2.57939E-84,,,
,,,2.06351E-84,,,
,,,1.65081E-84,,,
,,,1.32065E-84,,,
,,,1.05652E-84,,,
,,,8.45215E-85,,,
,,,6.76172E-85,,,
,,,5.40937E-85,,,
,,,4.3275E-85,,,
,,,3.462E-85,,,
,,,2.7696E-85,,,
,,,2.21568E-85,,,
,,,1.77254E-85,,,
,,,1.41803E-85,,,
,,,1.13443E-85,,,
,,,9.07542E-86,,,
,,,7.26034E-86,,,
,,,5.80827E-86,,,
,,,4.64662E-86,,,
,,,3.71729E-86,,,
,,,2.97383E-86,,,
,,,2.37907E-86,,,
,,,1.90325E-86,,,
,,,1.5226E-86,,,
,,,1.21808E-86,,,
,,,9.74466E-87,,,
,,,7.79573E-87,,,
,,,6.23658E-87,,,
,,,4.98927E-87,,,
,,,3.99141E-87,,,
